YEAR,State,Constituency,Candidate,Party,Votes,Rank,Total_Votes_Const,Vote_Share_Percent,Is_Winner,Margin,Total_Assets,Criminal_Cases,Gender,Electors
2004,ANDHRA PRADESH,VISAKHAPATNAM,JANARDHANA REDDY NEDURUMALLI,INC,524122.0,1.0,965740.0,54.27154306542133,1,130571,0.0,0.0,MALE,
2004,ANDHRA PRADESH,WARANGAL,DHARAVATH RAVINDER NAIK,TRS,427601.0,1.0,921872.0,46.38398823263967,1,19262,0.0,0.0,MALE,
2004,ARUNACHAL PRADESH,ARUNACHAL EAST,TAPIR GAO,BJP,83335.0,1.0,163374.0,51.008728439041704,1,44994,0.0,0.0,MALE,
2004,ARUNACHAL PRADESH,ARUNACHAL WEST,KHIREN RIJIJU,BJP,123951.0,1.0,221554.0,55.9461801637524,1,47424,0.0,0.0,MALE,
2004,ASSAM,AUTONOMOUS DISTS,BIREN SINGH ENGTI,INC,125937.0,1.0,401377.0,31.37623730308413,1,24129,0.0,0.0,MALE,
2004,ASSAM,BARPETA,A. F. GOLAM OSMANI,INC,266972.0,1.0,762681.0,35.00441206743055,1,68125,0.0,0.0,MALE,
2004,ASSAM,DHUBRI,ANWAR HUSSAIN,INC,376588.0,1.0,863592.0,43.6071663470713,1,116622,0.0,0.0,MALE,
2004,ASSAM,DIBRUGARH,SARBANANDA SONOWAL,AGP,220944.0,1.0,631240.0,35.00158418351182,1,18554,0.0,0.0,MALE,
2004,ASSAM,GAUHATI,KIRIP CHALIHA,INC,353250.0,1.0,881775.0,40.06124011227354,1,61151,0.0,0.0,MALE,
2004,ASSAM,JORHAT,BIJOY KRISHNA HANDIQUE,INC,223624.0,1.0,666835.0,33.535132379074284,1,51292,0.0,0.0,MALE,
2004,ASSAM,KALIABOR,DIP GOGOI,INC,301893.0,1.0,763083.0,39.56227566332889,1,67198,0.0,0.0,MALE,
2004,ASSAM,KARIMGANJ,LALIT MOHAN SUKLABAIDYA,INC,321059.0,1.0,671491.0,47.81285229437178,1,91948,0.0,0.0,MALE,
2004,ASSAM,KOKRAJHAR,SANSUMA KHUNGGUR BWISWMUTHIARY,IND,689620.0,1.0,966987.0,71.31636723141057,1,484129,0.0,0.0,MALE,
2004,ASSAM,LAKHIMPUR,DR. ARUN KUMAR SARMAH,AGP,300865.0,1.0,800020.0,37.607184820379494,1,28148,0.0,0.0,MALE,
2004,ASSAM,MANGALDOI,NARAYAN CHANDRA BORKATAKY,BJP,345863.0,1.0,848938.0,40.74066657400187,1,29866,0.0,0.0,MALE,
2004,ASSAM,NOWGONG,RAJEN GOHAIN,BJP,342704.0,1.0,786069.0,43.59719057741751,1,31412,0.0,0.0,MALE,
2004,ASSAM,SILCHAR,SONTOSH MOHAN DEV,INC,246215.0,1.0,608233.0,40.480375119403256,1,21320,0.0,0.0,MALE,
2004,ASSAM,TEZPUR,MONI KUMAR SUBBA,INC,289847.0,1.0,719768.0,40.26950350668549,1,70445,0.0,0.0,MALE,
2004,BIHAR,ARARIA,SUKDEO PASWAN,BJP,216677.0,1.0,652439.0,33.21030778356291,1,27744,0.0,1.0,MALE,
2004,BIHAR,ARRAH,KANTI SINGH,RJD,299422.0,1.0,787399.0,38.026718347369,1,149743,0.0,0.0,FEMALE,
2004,BIHAR,AURANGABAD,NIKHIL KUMAR,INC,290009.0,1.0,767238.0,37.79909232858644,1,7460,0.0,0.0,MALE,
2004,BIHAR,BAGAHA,KAILASH BAITHA,JD(U),237989.0,1.0,570822.0,41.69233140979149,1,65375,0.0,0.0,MALE,
2004,BIHAR,BALIA,SURAJ SINGH,LJP,233869.0,1.0,632343.0,36.9845163147216,1,76227,0.0,17.0,MALE,
2004,BIHAR,BANKA,GIRIDHARI YADAV,RJD,339880.0,1.0,713888.0,47.609709086019095,1,4669,0.0,0.0,MALE,
2004,BIHAR,BARH,VIJAY KRISHNA,RJD,426856.0,1.0,864102.0,49.398797827108375,1,37688,0.0,1.0,MALE,
2004,BIHAR,BEGUSARAI,RAJIV RANJAN SINGH,JD(U),301562.0,1.0,678667.0,44.434457546926545,1,20491,0.0,0.0,MALE,
2004,BIHAR,BETTIAH,RAGHUNATH JHA,RJD,211590.0,1.0,569909.0,37.12697992135587,1,24671,0.0,2.0,MALE,
2004,BIHAR,BHAGALPUR,SUSHIL KUMAR MODI,BJP,345151.0,1.0,757287.0,45.57730424528613,1,117853,0.0,3.0,MALE,
2004,BIHAR,BIKRAMGANJ,AJIT KUMAR SINGH,JD(U),305392.0,1.0,733986.0,41.607333109895826,1,58801,0.0,0.0,MALE,
2004,BIHAR,BUXAR,LALMUNI CHAUBEY,BJP,205980.0,1.0,649158.0,31.730333755418556,1,54866,0.0,0.0,MALE,
2004,BIHAR,CHAPRA,LALU PRASAD,RJD,228882.0,1.0,446101.0,51.3072151822121,1,60423,0.0,7.0,MALE,
2004,BIHAR,DARBHANGA,MD. ALI ASHRAF FATMI,RJD,427672.0,1.0,762657.0,56.07658488678396,1,143463,0.0,0.0,MALE,
2004,BIHAR,GAYA,RAJESH KUMAR MANJHI,RJD,464829.0,1.0,883403.0,52.618001070858945,1,102934,0.0,0.0,MALE,
2004,BIHAR,GOPALGANJ,ANIRUDH PRASAD ALIAS SADHU YADAV,RJD,336016.0,1.0,694492.0,48.38299073279462,1,192919,0.0,3.0,MALE,
2004,BIHAR,HAJIPUR,RAM VILAS PASWAN,LJP,477495.0,1.0,773597.0,61.72399841261018,1,237801,0.0,0.0,MALE,
2004,BIHAR,JAHANABAD,GANESH PRASAD SINGH,RJD,400063.0,1.0,863843.0,46.3120034543314,1,46438,0.0,0.0,MALE,
