YEAR,State,Constituency,Total_Voters,Total_Electors,Total_Turnout,Male_Electors,Male_Voters,Male_Turnout,Female_Electors,Female_Voters,Female_Turnout,Coverage_Note
2009,BIHAR,KATIHAR,724802.0,1272769.0,56.946861527897056,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,KHAGARIA,624981.0,1342970.0,46.5372271904808,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,KISHANGANJ,626914.0,1186369.0,52.843086763056014,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,MADHEPURA,756450.0,1508361.0,50.15046132855464,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,MADHUBANI,556554.0,1397256.0,39.831927721190674,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,MAHARAJGANJ,599529.0,1312219.0,45.68818162212253,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,MUNGER,651003.0,1564604.0,41.60816411053532,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,MUZAFFARPUR,621813.0,1339949.0,46.40572141178508,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,NALANDA,568219.0,1719503.0,33.04553699528294,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,NAWADA,581583.0,1397512.0,41.61559972293619,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,PASCHIM CHAMPARAN,515477.0,1220868.0,42.222173076860074,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,PATALIPUTRA,628283.0,1526241.0,41.165386069434646,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,PATNA SAHIB,552416.0,1641976.0,33.64336628549991,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,PURNEA,704752.0,1305396.0,53.98760222951503,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,PURVI CHAMPARAN,481874.0,1187264.0,40.58692927604981,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,SAMASTIPUR,584743.0,1312948.0,44.53664577728897,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,SARAN,580829.0,1268338.0,45.79449641972408,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,SASARAM,599031.0,1402789.0,42.70285837713298,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,SHEOHAR,572269.0,1269056.0,45.09406992284028,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,SITAMARHI,576748.0,1355817.0,42.538779201027864,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,SIWAN,641910.0,1282480.0,50.052242530097935,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,SUPAUL,697659.0,1279549.0,54.52382050238014,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,UJIARPUR,564199.0,1229327.0,45.89494902495431,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,VAISHALI,624859.0,1278891.0,48.859441500487534,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,VALMIKI NAGAR,598447.0,1275653.0,46.912992796630434,,,,,,,Official constituency aggregate where source data is available.
2009,CHANDIGARH,CHANDIGARH,343557.0,524444.0,65.50880551593687,,,,,,,Official constituency aggregate where source data is available.
